Step,LA-PS:CH8:SETI,LA-PS:CV8:SETI,UD-PS:CH3:SETI,UD-PS:CH4:SETI,UD-PS:CH5:SETI,UD-PS:CH6:SETI,UD-PS:CH7:SETI,UD-PS:CV3:SETI,UD-PS:CV4:SETI,UD-PS:CV5:SETI,UD-PS:CV6:SETI,UD-PS:CV7:SETI,LA-BI:SBPM1:POS_X,LA-BI:SBPM2:POS_X,LA-BI:SBPM3:POS_X,LA-BI:SBPM4:POS_X,LA-BI:SBPM5:POS_X,LA-BI:SBPM7:POS_X,LA-BI:SBPM1:POS_Y,LA-BI:SBPM2:POS_Y,LA-BI:SBPM3:POS_Y,LA-BI:SBPM4:POS_Y,LA-BI:SBPM5:POS_Y,LA-BI:SBPM7:POS_Y,LA-BI:SBPM1:POS_S,LA-BI:SBPM2:POS_S,LA-BI:SBPM3:POS_S,LA-BI:SBPM4:POS_S,LA-BI:SBPM5:POS_S,LA-BI:SBPM7:POS_S,UD-BI:CBPM1:POS_X,UD-BI:CBPM2:POS_X,UD-BI:CBPM3:POS_X,UD-BI:CBPM4:POS_X,UD-BI:CBPM1:POS_Y,UD-BI:CBPM2:POS_Y,UD-BI:CBPM3:POS_Y,UD-BI:CBPM4:POS_Y,UD-BI:CBPM1:CH4_MAXADC,UD-BI:CBPM2:CH4_MAXADC,UD-BI:CBPM3:CH4_MAXADC,UD-BI:CBPM4:CH4_MAXADC,UD-BI:CBPM6:POS_X,UD-BI:CBPM7:POS_X,UD-BI:CBPM8:POS_X,UD-BI:CBPM9:POS_X,UD-BI:CBPM10:POS_X,UD-BI:CBPM6:POS_Y,UD-BI:CBPM7:POS_Y,UD-BI:CBPM8:POS_Y,UD-BI:CBPM9:POS_Y,UD-BI:CBPM10:POS_Y,UD-BI:CBPM6:CH4_MAXADC,UD-BI:CBPM7:CH4_MAXADC,UD-BI:CBPM8:CH4_MAXADC,UD-BI:CBPM9:CH4_MAXADC,UD-BI:CBPM10:CH4_MAXADC,pd_energy,Reward
10.0,0.9362443005353432,0.48903334107134133,-1.0913549653544512,0.06525537624107347,1.6607105435589173,0.593593919041263,0.05177506572480256,0.2776111360621409,0.5466845397327162,-0.4990927825631811,-0.3179788688015491,-0.5853184847039374,-2.19081828263402,0.2545654559880958,0.9494684580825246,0.5380805158466101,1.6461793425381182,1.879453261002898,-1.687027159441263,1.3578369479589165,1.360692902036011,0.43796445754542945,-0.750217938032026,0.972918912705034,67243.9,108236.0,37094.3,85227.4,89981.1,79192.5,1.7801424131393375,1.602137755393943,0.13661705303192137,1.9219157133102414,1.6426812133788655,2.6913663358688167,2.2288332023620603,0.3100026283264192,3115.8,3202.3,1657.3,4119.7,1.7314809560775757,0.7673840797424335,0.4456627750396729,0.40813633918762493,-1.1953398424148427,0.25571108779907364,1.196861785507202,0.18446004295349122,0.026818087081909185,2.209352822494505,3967.8,4554.1,3812.4,3120.5,3683.4,2.872848974637282,0.024575845736496568
11.0,0.9250301021039034,0.5279921106072115,-1.1732960553162715,0.12144962568629317,1.3540175897920663,0.549853737075279,-0.2312492167266392,0.43260173910391286,0.39082659827104643,-0.48605461347692647,-0.30498094626316247,-0.431922056006275,-2.1932918292768298,0.25228539767866,0.947827017869798,0.5304526996798813,1.6662031018398704,1.822343874942511,-1.6895996684208512,1.36149081556499,1.3687379151396453,0.43845175657421354,-0.7640988421328615,0.9706743055321276,67136.2,108085.1,36985.6,84979.6,89478.2,79096.5,1.8306812162399235,1.7848801460265726,0.16426118087768557,1.9832452335357662,1.6407056236266684,3.0887454452514462,0.14573742961883543,0.48867433166504154,3121.6,3015.4,1649.7,3971.2,1.9394910894393764,0.7256167060852031,0.2898086929321289,0.40875972747803024,-1.1069122320175038,0.39930924034118653,0.7105143966674804,0.020083276748657224,0.031399497833251945,2.671004875755311,4185.9,4468.6,3541.7,3201.4,3630.5,2.872848974637282,0.02444609840290757
12.0,1.2058459502360104,1.0190476865067153,-1.3415452231708256,0.26274644056072605,1.1462208580462485,0.8676248954037782,-0.1251372148647789,0.2924651705025205,0.7766582483960488,-0.2664921680189044,-0.46227944133547705,-0.4526312196865666,-2.201109395828098,0.2437760334983931,0.9196478996314086,0.4761671247296036,1.6396557707451282,1.775166334863752,-1.6955549815110864,1.377953717719764,1.4049452766068282,0.452143713299185,-0.7326089700199911,0.9720009211041033,67317.2,108280.5,37119.6,85527.7,90387.7,79286.7,1.4757134351730294,3.476985566139182,0.3624370737075806,1.25858502292633,1.251579015731771,2.2020753087997624,1.3635244674682614,-0.09712934494018163,3219.7,3000.6,1764.3,3903.4,3.1932730789184567,0.6008361816406251,0.9532582569122315,0.19411030769348434,0.21092524013521316,1.181579367065432,0.6695947338104247,0.4433163414001465,0.04333060035705566,1.6955237022399907,4011.0,4375.0,3696.7,3210.4,3729.5,2.872848974637282,0.024478786265143663
13.0,1.227101762943288,0.47949561246839656,-0.8550200717034968,0.11378629075507521,1.440402841826144,0.9270010475740251,-0.03153218202793323,0.5754329561303734,0.8749931701021654,-0.254828225143879,-0.7231174301042625,-0.6609892520266969,-2.199140788957476,0.24798049361635907,0.9294688201434887,0.5011588470600545,1.655775912605226,1.7865214288979767,-1.696758165601641,1.368672062773258,1.3822446087151765,0.4422318152971566,-0.7509830610975872,0.9669045388922095,67379.9,108437.5,37169.5,85605.4,90428.6,79629.2,1.4279929456710765,2.5551428575515365,0.23766888427734373,1.6971386327743527,1.6647282629012659,3.7550869779586598,1.9659666738510135,-0.18797218513488376,3162.8,3018.9,1694.0,3725.3,3.2817106971740726,0.5099215188980093,0.6215798091888427,0.11858187675476368,-1.15648560962674,0.9267489044189446,2.126889811706543,1.187075340270996,0.07387994941711423,0.40507051248550674,1710.5,1742.9,1405.5,3413.3,54.0,2.872848974637282,0.015497405130710299
14.0,1.1950255238523293,0.5356333650900273,-0.9083875010018552,0.5258521340443046,1.5095787635340299,0.8866315410934502,-0.0660699338828993,0.32542470212850777,0.7256792156792368,-0.4576151451327958,-0.23182884538983722,-0.4180999140741891,-2.1975541145019237,0.2502299329787956,0.9325833854265488,0.5085596464537085,1.6332847932204604,1.7761484992988408,-1.6923522520959378,1.3661806944273416,1.3883106493502855,0.4484427509307861,-0.7228621836081396,0.9782062893994151,67641.5,108902.8,37310.7,85913.2,90778.4,79946.7,1.4807650747299141,2.394240509033165,0.19156803131103514,0.7914906272888179,1.5931129932403159,2.762270452499371,2.530872886657715,0.8589199085235635,3225.8,3039.7,1756.6,4068.1,2.7426906425476028,0.793575499343874,0.5240932273864746,-0.06481636047362986,0.2629181198119918,1.1042563585281358,1.3338772907257082,0.184566707611084,0.11161677108764649,2.574234323120118,4021.2,4289.6,3553.8,999.5,3186.7,2.872848974637282,0.019990263906070508
15.0,0.7100097386294504,0.5330339281038515,-0.8056347316507397,0.42666799894642804,1.7265417720058767,0.832085815372251,-0.18596323266106743,0.5636435230282352,0.7315814397615766,-0.6909833162854931,-0.7425701981376187,-0.7180157300538108,-2.1922702750042085,0.25351222245772354,0.9544468036740994,0.5499901552312076,1.5715587378069755,1.9654164735488595,-1.6857358168736098,1.3522035847976805,1.358268508572131,0.43820282388478515,-0.6774297566861163,0.9850496396049857,67585.7,108760.2,37272.6,85708.0,90502.2,79656.5,1.9461275529861504,2.8076388645172505,1.1046743516921995,2.0179085559844965,1.5733656349181726,3.5412918081283373,1.6445839023590085,1.1534967794418376,3192.8,3085.5,1668.9,3817.2,1.6957326751708823,0.976756916999817,0.6092366695404052,0.32471337318420707,-1.2420335386276178,1.53562525253296,1.1634046108245852,0.3523057537078857,0.12122743995666503,0.6992827081680298,4190.0,4470.3,3462.2,3465.0,3547.8,2.872848974637282,0.02465909978003786
16.0,1.1360177434888574,0.7158976320347739,-0.8225827620025088,0.35101090167009447,1.321069394969966,0.5542997959722998,0.13002166184372332,0.12609490690136615,0.5099331729832562,-0.4283658510790608,-0.16805294685400354,-0.27048805128238834,-2.1962853749319904,0.24877355799083573,0.933359996605662,0.502841379262507,1.5529116831570864,1.8958516990914944,-1.6919560521394015,1.3631368589401252,1.3786689100451768,0.44608357081934813,-0.6528713310510169,0.9868562875427305,67391.3,108480.3,37181.1,85636.1,90486.4,79692.1,1.4935143938064523,1.8012249298095313,0.23319788932800295,1.993035408973693,1.3974914283752036,1.961133422851582,0.92387264919281,-0.24217831039428792,3204.0,3096.9,1694.9,4008.9,1.7584135189056398,0.846221985054019,0.788088140487671,0.47503838539123827,-0.7451822929382323,1.6587565578460715,0.6423651447296143,0.7106240215301514,0.10092715057373045,1.1108857955932616,4047.6,4289.1,3967.3,3098.2,3645.1,4.578791542100975,0.8040173319348742
17.0,0.7582656780934606,0.6558771073421682,-1.2250633610748096,0.42394490597302326,1.6582619744096978,0.6431077816144244,-0.15415502002209483,0.5782717249600776,0.5961417216392048,-0.6097897635937635,-0.4150602880144235,-0.5673165182758477,-2.1864150806963445,0.25759714738284223,0.9590005669109501,0.5551196304485202,1.59867896752432,1.943999547917396,-1.6798639657907184,1.34705933874473,1.343067322488874,0.4307660587504506,-0.7168964455425987,0.9808993288502098,67240.0,108295.9,37077.0,85247.2,89993.0,79218.2,1.9675441833496106,1.5637733402252507,0.6964926166534424,1.4616820945739741,1.4625249156951496,3.2251738767623714,0.8265061874389648,0.8504230794906655,3254.4,3212.1,1730.5,3951.6,1.7307941995620566,1.0975825014114382,0.5245540237426758,0.13864296913147264,-0.8389197696685591,1.1519538524627693,1.3673835674285886,0.16757177925109862,0.10318192932128907,3.114298620033263,4409.5,4224.5,3808.7,3239.1,3896.1,2.872848974637282,0.025194305794957524
18.0,1.1222960636994164,0.8889764915248348,-1.2836730071685414,0.19387749181946104,1.6579931871602702,0.6737568068941657,-0.08413822631342105,0.4040109187281993,0.8096544508498686,-0.5567210002368589,-0.6649781912432386,-0.7592761661010944,-2.2026126817911864,0.23990668247272234,0.9131158227324464,0.4646452367454768,1.6314848492741585,1.7899190179817377,-1.7034435040578244,1.3782127162925901,1.402045866753906,0.45065697101131075,-0.7171987981014201,0.971187501590699,66872.6,107586.7,36882.0,84973.0,89840.8,79099.3,1.5679763212203928,2.9641084156035986,0.24801298141479494,1.1108646316528317,1.3524128160476276,2.0530216283798026,0.7456638536453247,-0.06501236534118261,2990.3,3062.5,1707.3,3899.1,3.0344295303344677,0.5691218858718863,0.5803192234039307,0.11577910423279103,0.13561920814513503,1.178684763145446,0.3326402988433838,0.29411022949218746,0.05674531158447264,2.160592161560058,4292.3,3732.0,3527.8,3302.0,3767.5,2.872848974637282,0.024067784552546517
19.0,0.8975788076563698,0.9550434825214136,-1.3131812472787991,0.34751199256055526,1.3866776195214243,0.6187657939462684,-0.08297607064276206,0.35494330981521044,0.6946429134887621,-0.3580394197966426,-0.6411117961326953,-0.5370951240224687,-2.1969410965479907,0.2518211823218034,0.9444205250032225,0.5329291925728321,1.6396525191254914,1.8907268298640847,-1.6883337082788348,1.3598112946450711,1.37460987932235,0.44071799125894906,-0.7405657313391816,0.9722846687436103,67550.5,108749.5,37258.0,85675.2,90514.9,79628.6,1.8500097579955999,1.8983694791793435,0.3226290235519409,1.6050393266677851,1.288085647582967,1.8050072097778513,0.31602230644226076,-0.01384848690032644,3176.4,2983.7,1728.7,3954.5,1.7441990556716918,0.8457757438659679,0.34093737602233887,0.30762084960937786,-0.9251820339203013,0.6200026016235352,1.1008061714172364,0.35630413627624513,-0.0022720488739013858,1.806559830093383,4194.3,4206.2,3897.4,3413.2,3977.4,7.558753961655978,1.3122742511863783
