Step,LA-PS:CH8:SETI,LA-PS:CV8:SETI,UD-PS:CH3:SETI,UD-PS:CH4:SETI,UD-PS:CH5:SETI,UD-PS:CH6:SETI,UD-PS:CH7:SETI,UD-PS:CV3:SETI,UD-PS:CV4:SETI,UD-PS:CV5:SETI,UD-PS:CV6:SETI,UD-PS:CV7:SETI,LA-BI:SBPM1:POS_X,LA-BI:SBPM2:POS_X,LA-BI:SBPM3:POS_X,LA-BI:SBPM4:POS_X,LA-BI:SBPM5:POS_X,LA-BI:SBPM7:POS_X,LA-BI:SBPM1:POS_Y,LA-BI:SBPM2:POS_Y,LA-BI:SBPM3:POS_Y,LA-BI:SBPM4:POS_Y,LA-BI:SBPM5:POS_Y,LA-BI:SBPM7:POS_Y,LA-BI:SBPM1:POS_S,LA-BI:SBPM2:POS_S,LA-BI:SBPM3:POS_S,LA-BI:SBPM4:POS_S,LA-BI:SBPM5:POS_S,LA-BI:SBPM7:POS_S,UD-BI:CBPM1:POS_X,UD-BI:CBPM2:POS_X,UD-BI:CBPM3:POS_X,UD-BI:CBPM4:POS_X,UD-BI:CBPM1:POS_Y,UD-BI:CBPM2:POS_Y,UD-BI:CBPM3:POS_Y,UD-BI:CBPM4:POS_Y,UD-BI:CBPM1:CH4_MAXADC,UD-BI:CBPM2:CH4_MAXADC,UD-BI:CBPM3:CH4_MAXADC,UD-BI:CBPM4:CH4_MAXADC,UD-BI:CBPM6:POS_X,UD-BI:CBPM7:POS_X,UD-BI:CBPM8:POS_X,UD-BI:CBPM9:POS_X,UD-BI:CBPM10:POS_X,UD-BI:CBPM6:POS_Y,UD-BI:CBPM7:POS_Y,UD-BI:CBPM8:POS_Y,UD-BI:CBPM9:POS_Y,UD-BI:CBPM10:POS_Y,UD-BI:CBPM6:CH4_MAXADC,UD-BI:CBPM7:CH4_MAXADC,UD-BI:CBPM8:CH4_MAXADC,UD-BI:CBPM9:CH4_MAXADC,UD-BI:CBPM10:CH4_MAXADC,pd_energy,Reward
0.0,0.995341739047239,0.7860104259194604,-0.8864448086249757,0.1826655087251172,1.7326141604640246,1.0875352767496411,-0.05112351549907579,0.40704312317120517,0.5972743626718467,-0.6182343486491577,-0.19764553042707014,-0.25507232956254844,-2.193654927745462,0.24663520526518093,0.938860835060475,0.529799712251872,1.5915716932490471,1.7268098451569678,-1.6871709828190504,1.3646002121865752,1.3666769877187908,0.42731301400065425,-0.702304036170269,0.9823439188376069,67345.7,108345.4,37171.7,85590.5,90611.4,79807.2,1.7704381265640208,1.530149946212753,0.28498751735687256,1.6947489528656,1.343979544639547,2.282925539970379,1.262167905807495,-0.13153988647460543,3127.7,3031.6,1741.4,3779.8,3.193473663139349,0.5849099489212026,0.7998372173309326,0.2781571769714385,0.0921630104064877,1.4587930652618402,0.8685853092193605,0.303898624420166,0.09366414222717284,2.1924480674743645,4361.6,4280.9,3751.4,3272.7,3687.2,2.872848974637282,0.02447848339898023
1.0,0.9344418512559672,0.6079828210304807,-0.9787209219536057,0.41401071389310395,1.3195937611373767,1.0484268273719375,-0.08122968679834143,0.29175972212268814,0.6918007161811277,-0.3834963548579359,-0.6216083779328415,-0.5705185378486827,-2.1837731001563365,0.26104044858370884,0.9833879177682079,0.5882927642576397,1.6056035290509463,1.8362928255461157,-1.672859448350966,1.3429793817289175,1.3258881620429457,0.4188386344201863,-0.7341020543799053,0.9876768606193365,67297.6,108315.3,37128.8,85265.2,90020.1,79250.6,1.8329492549896187,1.3759770412444838,0.5145095014572144,1.658450037002563,1.420847410201986,2.3983587255477716,1.6446138248443603,0.6426184940338174,3049.5,2964.9,1677.8,3988.4,2.7357855035781804,0.5993076648712158,0.2974024200439453,0.22579224586487112,-0.17466531105042152,0.6459378078460701,1.0817690971374512,0.03308078384399414,0.06419048950195312,2.755658510589599,3996.3,4181.7,3891.5,3526.9,3981.0,2.872848974637282,0.024861170520091534
2.0,0.9137551038590116,0.6988207128734176,-1.288078097556406,0.5543932977884826,1.6554022329398381,0.5810969320251322,0.1240134399302675,0.260743960345545,0.7871073698655212,-0.412431380615637,-0.3765905190084089,-0.37027848131198626,-2.183412410713732,0.26155296887089474,0.9905220673866548,0.6128029443398119,1.6309965153820811,1.885295488417149,-1.6699712947569787,1.3406553982794287,1.3247760430946944,0.4185321622006595,-0.7587276839241633,0.9762171831876041,67420.0,108491.3,37181.1,85331.0,90026.7,79265.6,1.8644911603927556,1.96408274459835,0.4540466794967652,0.6992665319442743,1.3986204729079794,2.0565758056640435,0.8009241914749146,0.4246142644882241,2959.1,3076.5,1671.1,3872.1,1.9397703474044583,1.2879577865600587,0.5355622673034668,-0.070614824295041,-0.40122659339906114,0.6929571100234999,1.9071213970184329,0.10036663627624513,0.08235111961364745,2.3660960153579706,4181.7,4382.7,3622.5,3477.7,3698.6,2.872848974637282,0.024537808533630943
3.0,0.9751038842130756,0.4622859535715865,-1.2432353700617098,0.5123782588058513,1.3040516168433578,0.6591190875902909,0.09730591732237392,0.4484934800202539,0.6871019205417006,-0.5314150162727639,-0.5574958180075712,-0.283304306120597,-2.1887019023746253,0.25690156373758777,0.9707348337247945,0.5741186460629105,1.618470928758383,1.829391457963735,-1.6757730465754865,1.35147459146753,1.341114976543933,0.4226382452733815,-0.7401179776601742,0.9780128689259291,67249.1,108205.5,37108.5,85288.6,90043.8,79236.5,1.7559976367950387,2.1923112516402887,0.33103502655029304,0.9139259281158443,1.5853849468230794,3.3361969537734795,1.0534675331115724,1.1140927572250408,3214.9,3119.2,1725.0,3810.6,1.775211547279347,1.2512909564971924,0.39751124382019043,-0.05995136260986034,-0.3592344556808337,1.431306655502317,0.7869747085571289,0.4217478904724121,0.11855630073547363,3.3453756254196185,4214.6,4722.4,3766.0,3357.2,3838.8,2.872848974637282,0.025174787358867863
4.0,0.8170117991782446,0.8512745071150165,-1.271544595918838,0.44881252728030174,1.3277781406155482,0.8068470380692496,-0.28170602248930976,0.45153325639548914,0.9256677628635964,-0.6197841081247867,-0.41407345745756075,-0.30893001583809737,-2.181879911068827,0.2629472209588156,1.000233329147098,0.6329649087861181,1.6411271371133627,1.925526415333152,-1.6653511391021314,1.33302938888222,1.3137895554900167,0.41560786756128076,-0.7783905360661696,0.9781543256901204,67636.3,108932.3,37323.8,85595.4,90288.1,79465.3,1.9599693384170482,1.4750146894454648,0.541260380744934,1.463248744964599,1.271865049362142,2.289873202323894,1.631252305984497,0.4813966741561921,3244.9,3026.1,1716.4,3881.1,2.333091149902354,0.7603400817871083,0.0595400619506836,0.19189982414245899,-0.3215702972412108,0.4190745281219469,0.8329045631408694,0.013411027908325194,0.04304289016723633,2.6886169097900408,4374.9,4576.5,3869.1,3319.6,3880.8,3.466823649556274,0.7397347187201803
5.0,0.8613128358212745,0.5999399705517777,-1.3281860674134816,0.5884202178871218,1.6475086018570697,0.9952234254990386,0.05814172465420653,0.23261247414921643,0.8775093909915539,-0.23509363348657458,-0.6750092789658614,-0.7084390040860172,-2.188704396225512,0.2519457730763124,0.9610594019852554,0.5547317376732827,1.656388758081943,1.8271935921162363,-1.68261562487483,1.353557963546366,1.3451268361620605,0.42039382471516734,-0.78156253060701,0.9623057138621807,67007.7,107886.1,36973.0,84955.7,89726.5,79016.4,1.9346769939422566,1.866029603004432,0.5525546579360963,0.44719466590881296,1.5275350084304402,2.2751833438873104,1.4460643024444582,1.1589741935730022,3262.3,2932.6,1744.6,3802.2,2.366126627159113,1.0296937505722075,0.32978007316589353,-0.21211343765258492,0.25641228809354705,1.870181742668155,2.2729359836578373,0.36894119453430174,0.1778275229644775,1.7545771966934183,4261.1,4266.7,3658.8,3374.9,2769.1,2.872848974637282,0.02321155850022391
6.0,0.7240254421827874,0.9122966505568382,-0.9399455121448346,0.3511273746454169,1.2408816223631456,0.6025586582060622,-0.09217694339610892,0.26789343346231925,0.8738331772420074,-0.4137215273940177,-0.7032940511783081,-0.6883886940633728,-2.187991819333285,0.25660586710278854,0.9784779410138702,0.5869962841309607,1.6307166781686249,1.8679472296126185,-1.674194922465831,1.3456146300025287,1.3340814320370553,0.4208831425756216,-0.7562404465489336,0.9728657557927074,67404.1,108551.8,37199.8,85466.7,90245.3,79466.1,1.8672368043899579,2.1671603250503932,0.8720045185089113,1.5407874145507807,1.2759172172545983,1.9710617952346994,0.4810259704589844,0.09710404968262112,3189.3,3088.3,1650.5,3828.8,2.423199289321899,0.9607557722091666,1.2292798233032225,0.5666855335235625,-0.10401169357298468,0.2214042194366462,2.2354828804016114,0.4331846408843994,0.03531313049316408,1.670483660697937,4110.1,3955.5,3824.7,3011.3,3502.3,2.872848974637282,0.023279276404574136
7.0,0.6931254990336999,0.5049999382533112,-0.916855425467558,0.5587932738182254,1.3452158423288503,0.7690711051539524,0.08986324605919886,0.41652869007105375,0.7890110876266592,-0.2883228094333536,-0.41505110396275346,-0.4534803224371998,-2.1893784117363393,0.2549294564277397,0.9737438599169232,0.5767618678733706,1.617179297786206,1.8151712402850388,-1.6772517078816889,1.350571461182088,1.3362233247868716,0.42309457191824906,-0.7302778471447776,0.9835923937484621,66881.3,107647.8,36892.6,84732.0,89534.9,78797.3,1.8140841236114553,2.50493397617344,1.1609464931488038,1.8509505777359003,1.5637992963790484,3.1396394643783383,0.7651153392791749,1.8905857944488555,3125.2,2984.4,1730.8,3973.9,2.9219609537124636,1.4605850355148295,1.2411357307434083,0.5069154453277618,-1.0037843751907347,0.8143997066497809,0.7580342937469486,1.0993736000061036,0.03391683265686034,1.3570408630371096,4283.0,4249.7,3315.7,3488.8,309.9,2.872848974637282,0.01982287444885769
8.0,1.0069006041447557,0.533090608770524,-0.9008678363670548,0.2244099832153812,1.1579969633630205,1.1241228965880128,-0.04402900894970724,0.09202241746673698,0.8564195352239221,-0.6339745327360741,-0.3768501956875205,-0.19269883049200345,-2.187739688746631,0.2542979890667365,0.9683137540854491,0.5729741636030377,1.623042409081012,1.8558507125787433,-1.6757515236809848,1.3466679568402473,1.33692314402014,0.4205879096500576,-0.7521781585514795,0.9753002575524151,67314.4,108371.9,37143.8,85368.8,90150.1,79389.7,1.7161721515655466,1.590277593612632,0.2676626873016358,1.8172278900146481,1.5377138757705282,1.963777815818768,0.5795747938156127,-0.23000369262695078,3255.5,3122.7,1723.7,4043.3,3.098629185867304,0.6551586591720611,0.5701764965057372,0.4760669803619413,-0.3966834400176934,1.514066357231138,0.9851016681671141,0.35792585563659673,0.11483974205017092,2.031605085563661,4200.9,3909.2,3675.9,819.9,3955.2,2.872848974637282,0.020530054577409244
9.0,0.8685841373909173,1.0209728728372995,-1.204805408950613,0.0824173027119959,1.4672513338017497,0.7919005517920078,-0.16597137915105112,0.3703768447563785,0.7169005022456448,-0.7328268165395383,-0.49082989334632543,-0.227883643504576,-2.1851659526340663,0.2577909948081242,0.9790344147160626,0.5887127717249097,1.6054216956533491,1.8509539345726371,-1.6745943683870137,1.3458531066142025,1.3294093013629316,0.4154387692026794,-0.7372019449621687,0.9819730786867439,67446.3,108370.4,37217.9,85478.5,90235.8,79428.0,1.9373579984664875,1.634429949760414,0.19683559513092044,1.847352680206298,1.0913002109527181,1.9768692274093822,0.6784210777282715,0.11286516380309664,3181.4,3052.8,1761.0,3824.4,2.8777022525787297,0.5596431371688825,0.22621524810791013,0.5263623619079618,-0.873392519569417,2.0767198734283445,1.9709633110046387,0.7771145954132079,0.23276891311645506,0.8035640163421631,4412.4,4238.9,3875.5,3386.4,3585.3,2.872848974637282,0.024683918875369217
